,Millas_Por_Galon,Cilindros,Pais_Origen,Peso_En_Libras,Desplazamiento,Aceleracion,Nombre,Anyo,Caballo_De_Fuerza,Potencia especifica_log10,Sqrt(var1)*exp(var2)/200,"Si var 1 > var 2 → 5, caso contrario 3",1/logn(var1/var2)*100,var2**2/var1
40,14.0,8,USA,4464,400.0,11.5,pontiac catalina brougham,1/01/1971,175.0,-1.4066861372432278,6529.43,3,-30.873587960023997,6.860439068100359
41,14.0,8,USA,4154,351.0,13.5,ford galaxie 500,1/01/1971,153.0,-1.4337750613814815,45111.91,3,-30.29028008652886,5.635291285507944
42,14.0,8,USA,4096,318.0,13.0,plymouth fury iii,1/01/1971,150.0,-1.436268688912093,27092.18,3,-30.237690569736625,5.4931640625
43,12.0,8,USA,4955,383.0,11.5,dodge monaco (sw),1/01/1971,180.0,-1.439771153717988,6622.06,3,-30.164132736077743,6.538849646821393
44,13.0,8,USA,4746,400.0,12.0,ford country squire (sw),1/01/1971,170.0,-1.4458788125030464,10610.31,3,-30.03671387586204,6.089338390223346
45,13.0,8,USA,5140,400.0,12.0,pontiac safari (sw),1/01/1971,175.0,-1.4679250703089812,10765.22,3,-29.585602881749125,5.958171206225681
46,18.0,6,USA,2962,258.0,13.5,amc hornet sportabout (sw),1/01/1971,110.0,-1.4301923690269647,38250.92,3,-30.366158518851925,4.085077650236327
47,22.0,4,USA,2408,140.0,19.0,chevrolet vega (sw),1/01/1971,72.0,-1.5243239861545184,7572362.72,3,-28.49095637462652,2.1528239202657806
48,19.0,6,USA,3282,250.0,15.0,pontiac firebird,1/01/1971,100.0,-1.5161385767170743,163450.87,3,-28.644774862442883,3.0469226081657528
49,18.0,6,USA,3139,250.0,14.5,ford mustang,1/01/1971,88.0,-1.5523086435498739,92999.65,3,-27.97732807246966,2.467027715833068
50,23.0,4,USA,2220,122.0,14.0,mercury capri 2000,1/01/1971,86.0,-1.411854523207071,55762.47,3,-30.760568795483163,3.3315315315315317
51,28.0,4,Europe,2123,116.0,14.0,opel 1900,1/01/1971,90.0,-1.372707484726674,57044.53,3,-31.637802425891643,3.8153556288271315
52,30.0,4,Europe,2074,79.0,19.5,peugeot 304,1/01/1971,70.0,-1.4717107120387654,12310095.48,3,-29.509500634239615,2.3625843780135005
53,30.0,4,Europe,2065,88.0,14.5,fiat 124b,1/01/1971,76.0,-1.4341064637116285,86426.47,3,-30.283280418334417,2.797094430992736
54,31.0,4,Japan,1773,71.0,19.0,toyota corolla 1200,1/01/1971,65.0,-1.4357953789580622,7194851.57,3,-30.247658424587883,2.382966723068246
55,35.0,4,Japan,1613,72.0,18.0,datsun 1200,1/01/1971,69.0,-1.3687852766517061,2727063.33,3,-31.728459482382355,2.9516429014259145
56,27.0,4,Europe,1834,97.0,19.0,volkswagen model 111,1/01/1971,60.0,-1.4852480809503585,6912589.79,3,-29.240534795060086,1.9629225736095965
57,26.0,4,USA,1955,91.0,20.5,plymouth cricket,1/01/1971,70.0,-1.4460487217176288,33462308.85,3,-30.03318459335127,2.506393861892583
58,24.0,4,Japan,2278,113.0,15.5,toyota corona hardtop,1/01/1972,95.0,-1.3798301144542338,262661.41,3,-31.474489312405606,3.96180860403863
59,25.0,4,USA,2126,97.5,17.0,dodge colt hardtop,1/01/1972,80.0,-1.4244732731953345,1080242.33,3,-30.48807514156134,3.0103480714957667
60,23.0,4,Europe,2254,97.0,23.5,volkswagen type 3,1/01/1972,54.0,-1.620560151887119,590319608.04,3,-26.799034975500426,1.2937000887311447
61,20.0,4,USA,2408,140.0,19.5,chevrolet vega,1/01/1972,90.0,-1.4274139731464621,13958336.25,3,-30.425264854731132,3.3637873754152823
62,21.0,4,USA,2226,122.0,16.5,ford pinto runabout,1/01/1972,86.0,-1.4130267087551218,679325.91,3,-30.735051164451505,3.3225516621743036
63,13.0,8,USA,4274,350.0,12.0,chevrolet impala,1/01/1972,165.0,-1.4133505736141443,10453.12,3,-30.72800832370254,6.369911090313524
64,14.0,8,USA,4385,400.0,12.0,pontiac catalina,1/01/1972,175.0,-1.398931549015765,10765.22,3,-31.044727113975302,6.984036488027366
65,15.0,8,USA,4135,318.0,13.5,plymouth fury iii,1/01/1972,150.0,-1.4403842548328842,44667.45,3,-30.151293340375997,5.4413542926239415
66,14.0,8,USA,4129,351.0,13.0,ford galaxie 500,1/01/1972,153.0,-1.4311534520571034,27361.76,3,-30.345766296340067,5.669411479777186
67,17.0,8,USA,3672,304.0,11.5,amc ambassador sst,1/01/1972,150.0,-1.3888114134735237,6045.08,3,-31.270947062355148,6.127450980392157
68,11.0,8,USA,4633,429.0,11.0,mercury marquis,1/01/1972,208.0,-1.3477989652403937,4317.59,3,-32.222497056583734,9.338225771638248
69,13.0,8,USA,4502,350.0,13.5,buick lesabre custom,1/01/1972,155.0,-1.4630737924942097,45405.8,3,-29.68370318238549,5.336517103509551
70,12.0,8,USA,4456,350.0,13.5,oldsmobile delta 88 royale,1/01/1972,160.0,-1.4448251995097476,46132.34,3,-30.05861761343967,5.745062836624776
71,13.0,8,USA,4422,400.0,12.5,chrysler newport royal,1/01/1972,190.0,-1.3668651372898661,18493.87,3,-31.773030861284784,8.16372682044324
72,19.0,3,Japan,2330,70.0,13.5,mazda rx2 coupe,1/01/1972,97.0,-1.3805841867597741,35919.59,3,-31.45729800965918,4.0381974248927035
73,15.0,8,USA,3892,304.0,12.5,amc matador (sw),1/01/1972,150.0,-1.414081572540633,16432.24,3,-30.712123708886857,5.781089414182939
74,13.0,8,USA,4098,307.0,14.0,chevrolet chevelle concours (sw),1/01/1972,130.0,-1.4986286017583395,68558.99,3,-28.979460380890544,4.123962908735969
75,13.0,8,USA,4294,302.0,16.0,ford gran torino (sw),1/01/1972,140.0,-1.4867340044219919,525709.39,3,-29.21131020152428,4.56450861667443
76,14.0,8,USA,4077,318.0,14.0,plymouth satellite custom (sw),1/01/1972,150.0,-1.4342494523964755,73644.17,3,-30.280261301658,5.518763796909492
77,18.0,4,Europe,2933,121.0,14.5,volvo 145e (sw),1/01/1972,112.0,-1.4180940403103706,104917.76,3,-30.62522438978731,4.276849642004773
78,22.0,4,Europe,2511,121.0,18.0,volkswagen 411 (sw),1/01/1972,76.0,-1.519033120432131,2862051.7,3,-28.59019175169168,2.300278773397053
79,21.0,4,Europe,2979,120.0,19.5,peugeot 504 (sw),1/01/1972,87.0,-1.5345512505964252,13723725.66,3,-28.3010737982493,2.540785498489426
80,26.0,4,Europe,2189,96.0,18.0,renault 12 (sw),1/01/1972,69.0,-1.5013966708306765,2727063.33,3,-28.926032030094355,2.174965737779808
81,22.0,4,USA,2395,122.0,16.0,ford pinto (sw),1/01/1972,86.0,-1.4448070665070143,412031.99,3,-30.05899486311402,3.0881002087682674
82,28.0,4,Japan,2288,97.0,17.0,datsun 510 (sw),1/01/1972,92.0,-1.3956681927754313,1158430.84,3,-31.117316003283857,3.699300699300699
83,23.0,4,Japan,2506,120.0,14.5,toyouta corona mark ii (sw),1/01/1972,97.0,-1.4122093323918863,97639.57,3,-30.75284038575774,3.754588986432562
84,28.0,4,USA,2164,98.0,15.0,dodge colt (sw),1/01/1972,80.0,-1.4321672694425882,146194.9,3,-30.324284821303237,2.957486136783734
85,27.0,4,Japan,2100,97.0,16.5,toyota corolla 1600 (sw),1/01/1972,88.0,-1.3777366225837506,687179.65,3,-31.522315280317788,3.6876190476190476
86,13.0,8,USA,4100,350.0,13.0,buick century 350,1/01/1973,175.0,-1.369745808033441,29262.9,3,-31.706209966561104,7.469512195121951
87,14.0,8,USA,3672,304.0,11.5,amc matador,1/01/1973,150.0,-1.3888114134735237,6045.08,3,-31.270947062355148,6.127450980392157
88,13.0,8,USA,3988,350.0,13.0,chevrolet malibu,1/01/1973,145.0,-1.4393871474046431,26636.81,3,-30.17218006193313,5.2720661985957875
89,14.0,8,USA,4042,302.0,14.5,ford gran torino,1/01/1973,137.0,-1.4698757420228783,116038.01,3,-29.546339835880637,4.643493320138545
90,15.0,8,USA,3777,318.0,12.5,dodge coronet custom,1/01/1973,150.0,-1.401055725771844,16432.24,3,-30.99765940173424,5.957108816521049
91,12.0,8,USA,4952,429.0,11.5,mercury marquis brougham,1/01/1973,198.0,-1.3981154457505305,6945.27,3,-31.062848438107032,7.916801292407108
92,13.0,8,USA,4464,400.0,12.0,chevrolet caprice classic,1/01/1973,150.0,-1.473632926873841,9966.65,3,-29.471008280505945,5.040322580645161
93,13.0,8,USA,4363,351.0,13.0,ford ltd,1/01/1973,158.0,-1.4411281260323976,27805.25,3,-30.135730061623168,5.721751088700436
94,14.0,8,USA,4237,318.0,14.5,plymouth fury gran sedan,1/01/1973,150.0,-1.4509672049453084,121418.71,3,-29.931378216065312,5.31036110455511
95,13.0,8,USA,4735,440.0,11.0,chrysler new yorker brougham,1/01/1973,215.0,-1.3428815234236868,4389.64,3,-32.34049127401907,9.762407602956705
96,12.0,8,USA,4951,455.0,11.0,buick electra 225 custom,1/01/1973,225.0,-1.3425104082201216,4490.56,3,-32.34943127770848,10.225207028883053
97,13.0,8,USA,3821,360.0,11.0,amc ambassador brougham,1/01/1973,175.0,-1.3391389890021144,3960.3,3,-32.430874275931195,8.014917560847946
98,18.0,6,USA,3121,225.0,16.5,plymouth valiant,1/01/1973,105.0,-1.4731044695953945,750626.0,3,-29.481580625611432,3.5325216276834346
99,16.0,6,USA,3278,250.0,18.0,chevrolet nova custom,1/01/1973,100.0,-1.5156089492344802,3282998.46,3,-28.654784739995755,3.050640634533252
100,18.0,6,USA,2945,232.0,16.0,amc hornet,1/01/1973,100.0,-1.4690852991231205,444305.53,3,-29.56223727529484,3.395585738539898
101,18.0,6,USA,3021,250.0,16.5,ford maverick,1/01/1973,88.0,-1.535668053123112,687179.65,3,-28.280492064676377,2.5633896060906984
102,23.0,6,USA,2904,198.0,16.0,plymouth duster,1/01/1973,95.0,-1.4852730067392084,433055.46,3,-29.240044081640505,3.1077823691460056
103,26.0,4,Europe,1950,97.0,21.0,volkswagen super beetle,1/01/1973,46.0,-1.627276779680944,44723217.49,3,-26.688421252370038,1.0851282051282052
104,11.0,8,USA,4997,400.0,14.0,chevrolet impala,1/01/1973,150.0,-1.5226180903869055,73644.17,3,-28.52287678999632,4.502701620972584
105,12.0,8,USA,4906,400.0,12.5,ford country,1/01/1973,167.0,-1.4680110727227835,17338.41,3,-29.583869629657976,5.684671830411741
106,13.0,8,USA,4654,360.0,13.0,plymouth custom suburb,1/01/1973,170.0,-1.4373774575724372,28841.82,3,-30.2143657266425,6.209712075633863
107,12.0,8,USA,4499,350.0,12.5,oldsmobile vista cruiser,1/01/1973,180.0,-1.3978434880622608,18000.61,3,-31.06889187610595,7.201600355634586
108,18.0,6,USA,2789,232.0,15.0,amc gremlin,1/01/1973,100.0,-1.4454485142660498,163450.87,3,-30.045655560673634,3.5855145213338115
109,20.0,4,Japan,2279,97.0,19.0,toyota carina,1/01/1973,88.0,-1.413261653030207,8371561.97,3,-30.729941689995687,3.397981570864414
110,21.0,4,USA,2401,140.0,19.5,chevrolet vega,1/01/1973,72.0,-1.523059663625759,12484715.49,3,-28.514607291836548,2.159100374843815
111,22.0,4,Japan,2379,108.0,16.5,datsun 610,1/01/1973,94.0,-1.4032665884375675,710219.97,3,-30.94882223247446,3.71416561580496
112,18.0,3,Japan,2124,70.0,13.5,maxda rx3,1/01/1973,90.0,-1.3729120029701065,34599.26,3,-31.633089445187696,3.8135593220338984
113,19.0,4,USA,2310,122.0,18.5,ford pinto,1/01/1973,85.0,-1.4341930541778516,4990308.36,3,-30.281452042884865,3.1277056277056277
114,21.0,6,USA,2472,155.0,14.0,mercury capri v6,1/01/1973,107.0,-1.3636646887315687,62199.18,3,-31.847600476273737,4.631472491909385
115,26.0,4,Europe,2265,98.0,15.5,fiat 124 sport coupe,1/01/1973,90.0,-1.4008256969095259,255655.85,3,-31.002749511333484,3.576158940397351
116,15.0,8,USA,4082,350.0,13.0,chevrolet monte carlo s,1/01/1973,145.0,-1.4495049981450767,26636.81,3,-29.96157187860794,5.1506614404703575
117,16.0,8,USA,4278,400.0,9.5,pontiac grand prix,1/01/1973,230.0,-1.2695129442179163,1013.05,3,-34.20953554520857,12.365591397849462
118,29.0,4,Europe,1867,68.0,19.5,fiat 128,1/01/1973,49.0,-1.5809482379205646,10299364.81,3,-27.47050608528988,1.2860203535083021
119,24.0,4,Europe,2158,116.0,15.5,opel manta,1/01/1973,75.0,-1.4589901769551918,233380.79,3,-29.766785874432234,2.606580166821131
120,20.0,4,Europe,2582,114.0,14.0,audi 100ls,1/01/1973,91.0,-1.452914845609308,57360.57,3,-29.89125503230178,3.207203718048025
121,19.0,4,Europe,2868,121.0,15.5,volvo 144ea,1/01/1973,112.0,-1.408361124325581,285196.04,3,-30.836869493342594,4.373779637377964
122,15.0,8,USA,3399,318.0,11.0,dodge dart custom,1/01/1973,150.0,-1.3552599055273784,3666.53,3,-32.04510663467558,6.619593998234775
123,24.0,4,Europe,2660,121.0,14.0,saab 99le,1/01/1973,110.0,-1.383488951472842,63065.1,3,-31.39125046433572,4.548872180451128
124,20.0,6,Japan,2807,156.0,13.5,toyota mark ii,1/01/1973,122.0,-1.361882581959691,40283.34,3,-31.889275012117462,5.3024581403633775
125,11.0,8,USA,3664,350.0,11.0,oldsmobile omega,1/01/1973,180.0,-1.3086829598925067,4016.48,3,-33.18561448518624,8.842794759825328
126,20.0,6,USA,3102,198.0,16.5,plymouth duster,1/01/1974,95.0,-1.5139181881887385,713987.75,3,-28.686786729396825,2.9094132817537073
127,19.0,6,USA,2901,232.0,16.0,amc hornet,1/01/1974,100.0,-1.462547728802664,444305.53,3,-29.69438011153272,3.447087211306446
128,15.0,6,USA,3336,250.0,17.0,chevrolet nova,1/01/1974,100.0,-1.523226041965701,1207747.64,3,-28.511492709434062,2.997601918465228
129,31.0,4,Japan,1950,79.0,19.0,datsun b210,1/01/1974,67.0,-1.4639598086616916,7304702.98,3,-29.665738043742536,2.302051282051282
130,26.0,4,USA,2451,122.0,16.5,ford pinto,1/01/1974,80.0,-1.4862533242601343,655200.09,3,-29.220757647048234,2.6111791105671154
131,32.0,4,Japan,1836,71.0,21.0,toyota corolla 1200,1/01/1974,65.0,-1.450959320222368,53163161.87,3,-29.931540867506445,2.30119825708061
132,25.0,4,USA,2542,140.0,17.0,chevrolet vega,1/01/1974,75.0,-1.5301142828262893,1045940.14,3,-28.383140186173684,2.2128245476003148
133,16.0,6,USA,3781,250.0,17.0,chevrolet chevelle malibu classic,1/01/1974,100.0,-1.5776066773625357,1207747.64,3,-27.528691918907906,2.6448029621793174
134,16.0,6,USA,3632,258.0,18.0,amc matador,1/01/1974,110.0,-1.5187531546908224,3443237.83,3,-28.595462044762805,3.3314977973568283
135,18.0,6,USA,3613,225.0,16.5,plymouth satellite sebring,1/01/1974,105.0,-1.5366786624980842,750626.0,3,-28.26189316621641,3.0514807639081094
136,16.0,8,USA,4141,302.0,14.0,ford gran torino,1/01/1974,140.0,-1.47097719482414,71147.03,3,-29.524215836342254,4.733156242453513
137,13.0,8,USA,4699,350.0,14.5,buick century luxus (sw),1/01/1974,150.0,-1.4959141859672707,121418.71,3,-29.03204515187035,4.788252819748883
138,14.0,8,USA,4457,318.0,13.5,dodge coronet custom (sw),1/01/1974,150.0,-1.472951375030495,44667.45,3,-29.484644861019966,5.0482387256001795
139,14.0,8,USA,4638,302.0,16.0,ford gran torino (sw),1/01/1974,140.0,-1.5202027086237304,525709.39,3,-28.568195507060185,4.225959465286762
140,14.0,8,USA,4257,304.0,15.5,amc matador (sw),1/01/1974,150.0,-1.4530123911214552,330050.28,3,-29.889248333805142,5.2854122621564485
141,29.0,4,Europe,2219,98.0,16.5,audi fox,1/01/1974,83.0,-1.4270792098559344,667372.03,3,-30.432401993095702,3.1045515998197386
142,26.0,4,Europe,1963,79.0,15.5,volkswagen dasher,1/01/1974,67.0,-1.4668454968991798,220582.92,3,-29.607377383734235,2.2868059093224655
143,26.0,4,Europe,2300,97.0,14.5,opel manta,1/01/1974,78.0,-1.4696332333271125,87556.28,3,-29.551215368207867,2.6452173913043477
144,31.0,4,Japan,1649,76.0,16.5,toyota corona,1/01/1974,52.0,-1.5012173120097196,528239.2,3,-28.92948798477752,1.6397816858702243
145,32.0,4,Japan,2003,83.0,19.0,datsun 710,1/01/1974,61.0,-1.5163511142828092,6969956.67,3,-28.64075990135443,1.8577134298552171
146,28.0,4,USA,2125,90.0,14.5,dodge colt,1/01/1974,75.0,-1.4522976709946303,85855.99,3,-29.903957747575127,2.6470588235294117
147,24.0,4,Europe,2108,90.0,15.5,fiat 128,1/01/1974,75.0,-1.448809343148809,233380.79,3,-29.975958117399088,2.668406072106262
148,26.0,4,Europe,2246,116.0,14.0,fiat 124 tc,1/01/1974,75.0,-1.476348488533739,52074.29,3,-29.416799981593698,2.504452359750668
149,24.0,4,Japan,2489,120.0,15.0,honda civic,1/01/1974,97.0,-1.4092531623423483,160980.44,3,-30.817350175847903,3.78023302531137
150,26.0,4,Japan,2391,108.0,15.5,subaru,1/01/1974,93.0,-1.4100966275618396,259881.85,3,-30.79891642987465,3.617314930991217
151,31.0,4,Europe,2000,79.0,16.0,fiat x1.9,1/01/1974,67.0,-1.4749551929631548,363679.75,3,-29.444588145810936,2.2445
152,19.0,6,USA,3264,225.0,16.0,plymouth valiant custom,1/01/1975,95.0,-1.5360265447929757,433055.46,3,-28.273891709455167,2.765012254901961
153,18.0,6,USA,3459,250.0,16.0,chevrolet nova,1/01/1975,105.0,-1.5177612629444235,455277.69,3,-28.61414983412675,3.1873373807458805
154,15.0,6,USA,3432,250.0,21.0,mercury monarch,1/01/1975,72.0,-1.6782147827453993,55952612.94,3,-25.878361123287657,1.5104895104895104
155,15.0,6,USA,3158,250.0,19.5,ford maverick,1/01/1975,72.0,-1.642079629241007,12484715.49,3,-26.447833233519198,1.641545281823939
156,16.0,8,USA,4668,400.0,11.5,pontiac catalina,1/01/1975,170.0,-1.4386819259950587,6435.48,3,-30.186970035289335,6.191088260497001
157,15.0,8,USA,4440,350.0,14.0,chevrolet bel air,1/01/1975,145.0,-1.486014967879645,72406.37,3,-29.22544464830896,4.73536036036036
158,16.0,8,USA,4498,318.0,14.5,plymouth grand fury,1/01/1975,150.0,-1.476928192043932,121418.71,3,-29.405253704462663,5.002223210315696
159,14.0,8,USA,4657,351.0,13.5,ford ltd,1/01/1975,148.0,-1.497844522537774,44368.67,3,-28.99463030832023,4.703457161262615
160,17.0,6,USA,3907,231.0,21.0,buick century,1/01/1975,110.0,-1.5504507260665594,69159280.57,3,-28.010853528060327,3.097005374968006
161,16.0,6,USA,3897,250.0,18.5,chevroelt chevelle malibu,1/01/1975,105.0,-1.5695411067227523,5546417.65,3,-27.670156585453913,2.8290993071593533
162,15.0,6,USA,3730,258.0,19.0,amc matador,1/01/1975,110.0,-1.5303161466504627,9359690.82,3,-28.379396169466702,3.2439678284182305
163,18.0,6,USA,3785,225.0,19.0,plymouth fury,1/01/1975,95.0,-1.6003422785472439,8698151.41,3,-27.13759973257065,2.3844121532364597
164,21.0,6,USA,3039,231.0,15.0,buick skyhawk,1/01/1975,110.0,-1.4413380149217179,171428.72,3,-30.131341670526833,3.981572885817703
165,20.0,8,USA,3221,262.0,13.5,chevrolet monza 2+2,1/01/1975,110.0,-1.4665980396614664,38250.92,3,-29.612372999182497,3.7565973300217324
166,13.0,8,USA,3169,302.0,12.0,ford mustang ii,1/01/1975,129.0,-1.3903325288910515,9242.7,3,-31.23673458533342,5.251183338592616
167,29.0,4,Japan,2171,97.0,16.0,toyota corolla,1/01/1975,75.0,-1.46159856006272,384779.87,3,-29.713663776777082,2.590971902349148
168,23.0,4,USA,2639,140.0,17.0,ford pinto,1/01/1975,83.0,-1.5023612978439758,1100310.46,3,-28.907459379212153,2.610458507010231
169,20.0,6,USA,2914,232.0,16.0,amc gremlin,1/01/1975,100.0,-1.4644895474339714,444305.53,3,-29.655007279786176,3.4317089910775564
170,23.0,4,USA,2592,140.0,18.5,pontiac astro,1/01/1975,78.0,-1.5215403945080754,4780410.82,3,-28.543079333997063,2.3472222222222223
171,24.0,4,Japan,2702,134.0,13.5,toyota corona,1/01/1975,96.0,-1.4494141116464434,35733.96,3,-29.963450639370453,3.4108068097705404
172,25.0,4,Europe,2223,90.0,16.5,volkswagen dasher,1/01/1975,71.0,-1.4956811139799153,617245.78,3,-29.036569215454016,2.2676563202878994
173,24.0,4,Japan,2545,119.0,17.0,datsun 710,1/01/1975,97.0,-1.4189160524065327,1189493.47,3,-30.60748246287529,3.6970530451866406
174,18.0,6,USA,2984,171.0,14.5,ford pinto,1/01/1975,97.0,-1.4880270845343864,97639.57,3,-29.185925875747447,3.1531501340482575
175,29.0,4,Europe,1937,90.0,14.0,volkswagen rabbit,1/01/1975,70.0,-1.442031580704854,50308.55,3,-30.116849569339664,2.5296850800206503
176,19.0,6,USA,3211,232.0,17.0,amc pacer,1/01/1975,90.0,-1.5523977961271775,1145770.01,3,-27.975721363860593,2.52257863593896
177,23.0,4,Europe,2694,115.0,15.0,audi 100ls,1/01/1975,95.0,-1.452673986098119,159312.2,3,-29.896211129227034,3.35003711952487
178,23.0,4,Europe,2957,120.0,17.0,peugeot 504,1/01/1975,88.0,-1.526368652375949,1132967.71,3,-28.452790957625346,2.61887047683463
179,22.0,4,Europe,2945,121.0,14.5,volvo 244dl,1/01/1975,98.0,-1.4778592234306256,98141.58,3,-29.386728791061923,3.261120543293718
